"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_gate_up_hfq4g256_fp16",7168,1469508347,205009.535017,18.12,111133,304453,75216.065976
"gemm_hfq4g256_residual_fp16",14336,1278390077,89173.414969,15.76,29387,173114,47226.162900
"fused_gate_up_hfq4g256_wave64",15104,846844866,56067.589115,10.44,50715,64868,1075.170377
"fused_rmsnorm_mq_rotate",44544,807698295,18132.594626,9.96,15756,26220,499.701571
"gemv_hfq4g256_residual_wave64",30208,784725586,25977.409494,9.67,11426,41695,11362.803256
"gemm_qkvza_hfq4g256_fp16",5376,552215710,102718.696057,6.81,59095,148538,36812.697655
"fused_qkvza_hfq4g256_wave64",11328,324622405,28656.638859,4.00,26821,37084,449.749907
"gated_delta_net_q8",16704,178750603,10701.065793,2.20,8339,18202,2740.783850
"gemm_qkv_hfq4g256_fp16",1792,165577368,92398.084821,2.04,54203,131219,32942.700677
"gemv_hfq4g256_wide",1740,161902565,93047.451149,2.00,4370,436274,146969.935414
"convert_f32_to_f16",28672,157236105,5483.960135,1.94,2526,11948,231.963189
"attention_q8_0_kv",3950,115461787,29230.832152,1.42,12709,64106,9533.695224
"mq_rotate_x",24128,114962347,4764.686132,1.42,2005,11386,228.854593
"gemm_hfq4g256_wave64",116,109890648,947333.172414,1.35,850778,1008658,22827.102270
"fused_silu_mul_mq_rotate",22272,105386607,4731.798087,1.30,2686,36683,282.014007
"attention_q8_0_kv_batched",1792,96833334,54036.458705,1.19,38929,67113,7116.487920
"fused_qkv_hfq4g256_wave64",3776,96681661,25604.253443,1.19,24656,28626,419.906730
"fused_qk_l2_norm_scale_f32",16704,89625449,5365.508202,1.10,4730,13551,226.106818
"conv1d_silu_split_f32",16704,82971678,4967.174210,1.02,2446,5813,164.080889
"gated_norm_f32",16704,80205346,4801.565254,0.9887,3809,12589,163.839609
"fused_sigmoid_alpha_gate_f32",16704,77392044,4633.144397,0.9540,1684,10785,200.834997
"rmsnorm_f32",12586,70370806,5591.197044,0.8675,2606,18683,2786.447142
"repeat_interleave_qk_f32",11328,53331627,4707.947299,0.6574,1563,7377,194.257172
"__amd_rocclr_copyBuffer",18733,47368657,2528.620990,0.5839,641,13310,1401.286370
"rope_partial_halfsplit_f32",3950,41563713,10522.458987,0.5124,9140,11747,183.611045
"argmax_f32_batched",116,37374322,322192.431034,0.4607,297358,355129,19526.839644
"kv_cache_write_q8_0",7900,37292608,4720.583291,0.4597,1683,17240,262.996301
"sigmoid_mul_f32",5742,30930092,5386.640892,0.3813,1844,15796,1437.206406
"repeat_interleave_qk_f32_batched",5376,25616577,4764.988281,0.3158,2285,7417,165.723178
"rope_partial_halfsplit_batched_f32",1792,20063286,11196.030134,0.2473,8740,12548,559.021666
"deinterleave_f32",3950,18549571,4696.093924,0.2287,1323,11025,251.681798
"kv_cache_write_q8_0_batched",3584,16811981,4690.842913,0.2072,2365,8740,216.107463
"deinterleave_f32_batched",1792,8485108,4734.993304,0.1046,3929,5774,166.632663
"embedding_q8",294,3091080,10513.877551,0.0381,8739,13431,703.023086
"add_inplace_f32",348,1631523,4688.284483,0.0201,3407,6695,456.800036
"embedding_q8_batched",112,1247798,11141.053571,0.0154,9180,18001,1175.794628
"silu_mul_f32",174,866658,4980.793103,0.0107,3287,6375,408.310820
"__amd_rocclr_fillBufferAligned",274,524148,1912.948905,6.461e-03,641,7537,882.440222
