"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"fused_gate_up_hfq4g256_wave64",15104,846659948,56055.346133,13.89,54043,63425,706.870856
"fused_rmsnorm_mq_rotate",44544,799378220,17945.811333,13.11,16117,49393,592.915665
"gemv_hfq4g256_residual_wave64",30208,785428889,26000.691506,12.88,13230,40813,11362.037385
"gemm_gate_up_hfq4g256_fp16_wave64",7168,609586200,85042.717634,10.00,62943,103035,13004.779685
"gemm_hfq4g256_residual_fp16_wave64",14336,575443699,40139.766950,9.44,16558,79381,18627.338501
"fused_qkvza_hfq4g256_wave64",11328,324852689,28676.967602,5.33,27463,31632,349.686315
"gemm_qkvza_hfq4g256_fp16_wave64",5376,227721452,42358.901042,3.74,31753,50675,6187.101772
"gated_delta_net_q8",16704,175159650,10486.090158,2.87,8259,16558,2193.638824
"gemv_hfq4g256_wide",1740,165062996,94863.790805,2.71,4450,438639,150822.234374
"convert_f32_to_f16",28672,140570144,4902.697545,2.31,1925,15595,181.761697
"attention_q8_0_kv",3950,115873189,29334.984557,1.90,12508,66110,9688.048076
"gemm_hfq4g256_wave64",116,115005219,991424.301724,1.89,802789,1156355,100235.833805
"mq_rotate_x",24128,114615068,4750.292938,1.88,2045,11106,241.006789
"fused_silu_mul_mq_rotate",22272,104921669,4710.922638,1.72,2967,11145,137.706599
"fused_qkv_hfq4g256_wave64",3776,96714014,25612.821504,1.59,24616,28104,357.006380
"attention_q8_0_kv_batched",1792,93230170,52025.764509,1.53,38528,89203,6534.956604
"fused_qk_l2_norm_scale_f32",16704,88335283,5288.271252,1.45,4691,7777,138.504111
"conv1d_silu_split_f32",16704,82143246,4917.579382,1.35,2566,8099,144.774544
"gated_norm_f32",16704,80087114,4794.487189,1.31,3568,9462,136.791612
"fused_sigmoid_alpha_gate_f32",16704,77913311,4664.350515,1.28,1885,17039,221.041069
"rmsnorm_f32",12586,70253210,5581.853647,1.15,2566,18282,2773.618899
"gemm_qkv_hfq4g256_fp16_wave64",1792,67985216,37938.178571,1.12,29988,45745,5718.799763
"repeat_interleave_qk_f32",11328,54963862,4852.035840,0.9016,1644,9181,187.013597
"__amd_rocclr_copyBuffer",18733,41905098,2236.966743,0.6874,641,39450,1027.156841
"rope_partial_halfsplit_f32",3950,41761303,10572.481772,0.6850,9060,12388,185.673660
"kv_cache_write_q8_0",7900,37353902,4728.342025,0.6127,2205,7577,211.562006
"argmax_f32_batched",116,36246260,312467.758621,0.5946,297999,333760,9125.654576
"sigmoid_mul_f32",5742,31645764,5511.278997,0.5191,1684,23694,1373.747763
"repeat_interleave_qk_f32_batched",5376,25291309,4704.484561,0.4149,2004,8901,136.225743
"rope_partial_halfsplit_batched_f32",1792,19197755,10713.032924,0.3149,9622,12789,256.713432
"deinterleave_f32",3950,19080278,4830.450127,0.3130,1885,12629,260.832436
"kv_cache_write_q8_0_batched",3584,16471398,4595.814174,0.2702,1644,10785,245.797788
"deinterleave_f32_batched",1792,8208918,4580.869420,0.1347,1444,10864,537.152124
"embedding_q8",294,3083986,10489.748299,0.0506,8579,13711,707.365717
"add_inplace_f32",348,1652676,4749.068966,0.0271,3488,6415,443.527133
"embedding_q8_batched",112,1212202,10823.232143,0.0199,9060,15997,802.163201
"silu_mul_f32",174,879839,5056.545977,0.0144,3528,6535,463.227438
"__amd_rocclr_fillBufferAligned",274,523029,1908.864964,8.579e-03,601,7016,829.748040
