"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_gate_up_hfq4g256_fp16_wave64",704,211080906,299830.832386,16.44,284970,368160,13473.057848
"gemm_hfq4g256_residual_fp16_wave64",1408,170157798,120850.708807,13.25,61901,225996,54901.594396
"Cijk_Alik_Bljk_HSS_BH_MT256x256x32_MI32x32x8x1_SN_1LDSB1_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASE_ASGT_ASLT_ASM_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_CLR0_DTLA0_DTLB0_DTVA0_DTVB0_DVO0_ETSP_EPS1_ELFLR0_EMLL0_FSSC10_FL0_GLVWA8_GLVWB8_GRCGA1_GRCGB1_GRPM1_GRVW8_GSU1_GSUASB_GLS0_ISA942_IU1_K1_KLA_LBSPPA128_LBSPPB128_LPA8_LPB8_LDL1_LRVW8_LWPMn1_LDW0_FMA_MIAV0_MDA2_MO40_MMFSC_MKFGSU256_NTA0_NTB0_NTC2_NTD3_NEPBS0_NLCA1_NLCB1_ONLL0_OPLV0_PK0_PAP0_PGR2_PLR5_PKA0_SIA3_SLW1_SS1_SU32_SUM0_SUS128_SCIUI1_SPO1_SRVW0_SSO8_SVW2_SNLL0_TSGRA0_TSGRB0_TT2_256_TLDS1_UMLDSA1_UMLDSB1_U64SL1_USFGROn1_VAW1_VSn1_VW2_VWB2_VFLRP0_WSGRA0_WSGRB0_WS64_WG128_2_1_WGM4",191,141988142,743393.413613,11.06,665358,1240751,51562.745099
"Cijk_Alik_Bljk_HSS_BH_MT256x256x32_MI32x32x8x1_SN_1LDSB1_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASE_ASGT_ASLT_ASM_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_CLR0_DTLA0_DTLB0_DTVA0_DTVB0_DVO0_ETSP_EPS1_ELFLR0_EMLL0_FSSC10_FL0_GLVWA8_GLVWB8_GRCGA1_GRCGB1_GRPM1_GRVW8_GSU1_GSUASB_GLS0_ISA942_IU1_K1_KLA_LBSPPA128_LBSPPB128_LPA8_LPB8_LDL1_LRVW8_LWPMn1_LDW0_FMA_MIAV0_MDA2_MO40_MMFSC_MKFGSU256_NTA0_NTB0_NTC3_NTD2_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR5_PKA0_SIA3_SLW1_SS1_SU32_SUM0_SUS128_SCIUI1_SPO1_SRVW0_SSO8_SVW2_SNLL0_TSGRA0_TSGRB0_TT2_256_TLDS1_UMLDSA1_UMLDSB1_U64SL1_USFGROn1_VAW1_VSn1_VW2_VWB2_VFLRP0_WSGRA0_WSGRB0_WS64_WG128_2_1_WGM18",516,139406321,270167.288760,10.86,210601,1484026,166285.511183
"Cijk_Alik_Bljk_HSS_BH_MT256x256x32_MI32x32x8x1_SN_1LDSB1_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASE_ASGT_ASLT_ASM_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_CLR0_DTLA0_DTLB0_DTVA0_DTVB0_DVO0_ETSP_EPS1_ELFLR0_EMLL0_FSSC10_FL0_GLVWA8_GLVWB8_GRCGA1_GRCGB1_GRPM1_GRVW8_GSU1_GSUASB_GLS0_ISA942_IU1_K1_KLA_LBSPPA128_LBSPPB128_LPA8_LPB8_LDL1_LRVW8_LWPMn1_LDW0_FMA_MIAV0_MDA2_MO40_MMFSC_MKFGSU256_NTA0_NTB0_NTC0_NTD0_NEPBS8_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR5_PKA0_SIA3_SLW1_SS1_SU32_SUM0_SUS64_SCIUI1_SPO0_SRVW0_SSO8_SVW2_SNLL0_TSGRA0_TSGRB0_TT4_128_TLDS1_UMLDSA1_UMLDSB1_U64SL1_USFGROn1_VAW1_VSn1_VW2_VWB1_VFLRP0_WSGRA0_WSGRB0_WS64_WG64_4_1_WGM6",526,109971521,209071.332700,8.57,157960,228842,20567.934254
"gemm_qkvza_hfq4g256_fp16_wave64",528,75924016,143795.484848,5.91,136953,188470,6976.180922
"gated_delta_net_q8",1200,68379040,56982.533333,5.33,12188,483343,87464.492237
"gemm_hfq4g256_wave64",135,59423725,440175.740741,4.63,26140,3571669,976398.065212
"hfq4g256_dequantize_to_f16",533,53968871,101254.917448,4.20,4169,2413266,121535.480706
"fused_rmsnorm_mq_rotate",1664,31479085,18917.719351,2.45,14914,51959,1306.447788
"__amd_rocclr_copyBuffer",7877,26405637,3352.245398,2.06,601,33436,1828.772139
"gemm_qkv_hfq4g256_fp16_wave64",176,21896885,124414.119318,1.71,119433,160887,4234.875721
"Cijk_Alik_Bljk_HSS_BH_MT256x128x64_MI16x16x16x1_SN_1LDSB1_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASE_ASGT_ASLT_ASM_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_CLR0_DTLA0_DTLB0_DTVA0_DTVB0_DVO0_ETSP_EPS1_ELFLR0_EMLL0_FSSC10_FL0_GLVWA8_GLVWB8_GRCGA1_GRCGB1_GRPM1_GRVW8_GSU1_GSUASB_GLS0_ISA942_IU1_K1_KLA_LBSPPA256_LBSPPB128_LPA16_LPB16_LDL1_LRVW8_LWPMn1_LDW0_FMA_MIAV0_MDA2_MO40_MMFSC_MKFGSU256_NTA0_NTB0_NTC0_NTD0_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR5_PKA0_SIA3_SLW1_SS1_SU32_SUM0_SUS128_SCIUI1_SPO0_SRVW0_SSO8_SVW2_SNLL0_TSGRA0_TSGRB0_TT8_64_TLDS1_UMLDSA1_UMLDSB1_U64SL1_USFGROn1_VAW1_VSn1_VW2_VWB1_VFLRP0_WSGRA0_WSGRB0_WS64_WG32_8_1_WGM18",128,21548081,168344.382812,1.68,148218,184180,14013.341160
"convert_f32_to_f16",3793,19767694,5211.625099,1.54,1684,12589,842.926845
"argmax_f32_batched",48,18188136,378919.500000,1.42,296917,472799,54038.349051
"Cijk_Alik_Bljk_HSS_BH_MT256x256x32_MI32x32x8x1_SN_1LDSB1_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASE_ASGT_ASLT_ASM_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_CLR0_DTLA0_DTLB0_DTVA0_DTVB0_DVO0_ETSP_EPS1_ELFLR0_EMLL0_FSSC10_FL0_GLVWA8_GLVWB8_GRCGA1_GRCGB1_GRPM1_GRVW8_GSU1_GSUASB_GLS0_ISA942_IU1_K1_KLA_LBSPPA128_LBSPPB128_LPA8_LPB8_LDL1_LRVW8_LWPMn1_LDW0_FMA_MIAV0_MDA2_MO40_MMFSC_MKFGSU256_NTA0_NTB0_NTC0_NTD0_NEPBS8_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR5_PKA0_SIA3_SLW1_SS1_SU32_SUM0_SUS64_SCIUI1_SPO0_SRVW0_SSO6_SVW2_SNLL0_TSGRA0_TSGRB0_TT4_128_TLDS1_UMLDSA1_UMLDSB1_U64SL1_USFGROn1_VAW1_VSn1_VW2_VWB1_VFLRP0_WSGRA0_WSGRB0_WS64_WG64_4_1_WGM18",96,17273849,179935.927083,1.35,177726,185824,1879.115000
"attention_q8_0_kv_batched",208,13939607,67017.341346,1.09,39651,122559,18280.470741
"conv1d_silu_split_f32",1200,10589865,8824.887500,0.8249,4530,55086,9541.612967
"attention_dflash_f32",60,9064192,151069.866667,0.7060,120635,177284,18292.574762
"gemv_hfq4g256_wide",205,9046953,44131.478049,0.7047,5373,428498,82490.437586
"mq_rotate_x",1637,8007070,4891.307269,0.6237,2445,37485,1052.866560
"rmsnorm_f32",921,7776389,8443.419110,0.6057,3848,53281,5532.231806
"fused_qk_l2_norm_scale_f32",1200,6699404,5582.836667,0.5218,4450,36082,1310.111253
"repeat_interleave_qk_f32_batched",1200,6122086,5101.738333,0.4769,1964,35040,1555.976910
"fused_silu_mul_mq_rotate",832,5033121,6049.424279,0.3920,4009,18884,3318.654417
"gated_norm_f32",624,3442903,5517.472756,0.2682,3848,10063,1290.607860
"fused_sigmoid_alpha_gate_f32",624,3262355,5228.133013,0.2541,3809,6174,324.807625
"rope_partial_halfsplit_batched_f32",208,2685677,12911.908654,0.2092,10424,14433,808.466429
"kv_cache_write_q8_0_batched",416,2085044,5012.125000,0.1624,3848,5933,321.181912
"attention_q8_0_kv",24,1637616,68234.000000,0.1276,42417,86557,12842.060528
"sigmoid_mul_f32",232,1278032,5508.758621,0.0995,3969,9542,924.448642
"embedding_q8",216,1223151,5662.736111,0.0953,3849,13631,2803.090573
"deinterleave_f32_batched",208,1122917,5398.639423,0.0875,3889,8780,871.621688
"rope_batched_f32",120,984644,8205.366667,0.0767,4530,12068,2994.874119
"__amd_rocclr_fillBufferAligned",418,963186,2304.272727,0.0750,601,7978,1376.694361
"add_f32",120,539678,4497.316667,0.0420,3889,4971,241.258012
"silu_mul_f32",84,411181,4895.011905,0.0320,3888,7136,648.678035
"rope_partial_halfsplit_f32",24,299647,12485.291667,0.0233,10063,14514,1507.727356
"add_inplace_f32",48,257428,5363.083333,0.0201,2365,7176,851.398295
"kv_cache_write_q8_0",48,242634,5054.875000,0.0189,4089,6094,671.579390
"embedding_q8_batched",13,145773,11213.307692,0.0114,10384,13952,1030.348354
"deinterleave_f32",24,115584,4816.000000,9.003e-03,2686,10824,1396.885044
